ons_id,constituency_name,region_name,country_name,constituency_type,time_recorded,result,party_abbreviation,party_name,title,firstname,surname,middlenames,mnis_id,gender,candidate_type,old_constituency
E14001241,Frome and East Somerset,South West,England,County,7/5/24 5:51,LD gain from Con,LD,Liberal Democrat,,Anna,Sabine,Elizabeth,,Female,New member,
E14001242,Fylde,North West,England,County,7/5/24 3:16,Con hold,Con,Conservative,Mr,Andrew,Snowden,,,Male,New member,
E14001243,Gainsborough,East Midlands,England,County,7/5/24 5:01,Con hold,Con,Conservative,Sir,Edward,Leigh,,345,Male,Re-elected Member,Gainsborough
E14001244,Gateshead Central and Whickham,North East,England,Borough,7/5/24 1:25,Lab hold,Lab,Labour,,Mark,Ferguson,Andrew,,Male,New member,
E14001245,Gedling,East Midlands,England,County,7/5/24 4:16,Lab gain from Con,Lab,Labour,,Michael,Payne,,,Male,New member,
E14001246,Gillingham and Rainham,South East,England,Borough,7/5/24 5:48,Lab gain from Con,Lab,Labour,,Naushabah,Khan,Parveen,,Female,New member,
S14000084,Glasgow East,Scotland,Scotland,Borough,7/5/24 5:43,Lab gain from SNP,Lab,Labour,,John,Grady,,,Male,New member,
S14000085,Glasgow North,Scotland,Scotland,Borough,7/5/24 5:44,Lab gain from SNP,Lab,Labour,,Martin,Rhodes,,,Male,New member,
S14000086,Glasgow North East,Scotland,Scotland,Borough,7/5/24 5:45,Lab gain from SNP,Lab,Labour,,Maureen,Burke,,,Female,New member,
S14000087,Glasgow South,Scotland,Scotland,Borough,7/5/24 5:46,Lab gain from SNP,Lab,Labour,,Gordon,McKee,,,Male,New member,
S14000088,Glasgow South West,Scotland,Scotland,Borough,7/5/24 5:47,Lab gain from SNP,Lab,Labour,Dr,Zubir,Ahmed,,,Male,New member,
S14000089,Glasgow West,Scotland,Scotland,Borough,7/5/24 5:48,Lab gain from SNP,Lab,Labour,,Patricia,Ferguson,,,Female,New member,
E14001247,Glastonbury and Somerton,South West,England,County,7/5/24 4:38,LD gain from Con,LD,Liberal Democrat,,Sarah,Dyke,Joanne,4995,Female,Re-elected Member,Somerton and Frome
S14000090,Glenrothes and Mid Fife,Scotland,Scotland,County,7/5/24 5:48,Lab gain from SNP,Lab,Labour,,Richard,Baker,,,Male,New member,
E14001248,Gloucester,South West,England,Borough,7/5/24 7:29,Lab gain from Con,Lab,Labour,,Alex,McIntyre,,,Male,New member,
E14001249,Godalming and Ash,South East,England,County,7/5/24 5:52,Con hold,Con,Conservative,,Jeremy,Hunt,,1572,Male,Re-elected Member,South West Surrey
E14001250,Goole and Pocklington,Yorkshire and The Humber,England,County,7/5/24 6:06,Con hold,Con,Conservative,,David,Davis,Michael,373,Male,Re-elected Member,Haltemprice and Howden
S14000091,Gordon and Buchan,Scotland,Scotland,County,7/5/24 6:20,Con hold,Con,Conservative,,Harriet,Cross,,,Female,New member,
E14001251,Gorton and Denton,North West,England,Borough,7/5/24 5:47,Lab hold,Lab,Labour and Co-operative,Mr.,Andrew,Gwynne,John,1506,Male,Re-elected Member,Denton and Reddish
E14001252,Gosport,South East,England,Borough,7/5/24 5:53,Con hold,Con,Conservative,Dame,Caroline,Dinenage,Julia,4008,Female,Re-elected Member,Gosport
W07000097,Gower,Wales,Wales,County,7/5/24 3:05,Lab hold,Lab,Labour,,Tonia,Antoniazzi,Louise,4623,Female,Re-elected Member,Gower
E14001253,Grantham and Bourne,East Midlands,England,County,7/5/24 3:26,Con hold,Con,Conservative,,Gareth,Davies,Mark,4850,Male,Re-elected Member,Grantham and Stamford
E14001254,Gravesham,South East,England,County,7/5/24 5:54,Lab gain from Con,Lab,Labour,,Lauren,Sullivan,,,Female,New member,
E14001255,Great Grimsby and Cleethorpes,Yorkshire and The Humber,England,Borough,7/5/24 4:31,Lab gain from Con,Lab,Labour,,Melanie,Onn,,4464,Female,Historical member,
E14001256,Great Yarmouth,East of England,England,County,7/5/24 4:39,RUK gain from Con,RUK,Reform UK,,Rupert,Lowe,James Graham,,Male,New member,
E14001257,Greenwich and Woolwich,London,England,Borough,7/5/24 5:06,Lab hold,Lab,Labour,,Matthew,Pennycook,Thomas,4520,Male,Re-elected Member,Greenwich and Woolwich
E14001258,Guildford,South East,England,County,7/5/24 6:04,LD gain from Con,LD,Liberal Democrat,,Zöe,Franklin,Louise,,Female,New member,
E14001259,Hackney North and Stoke Newington,London,England,Borough,7/5/24 6:23,Lab hold,Lab,Labour,Ms,Diane,Abbott,,172,Female,Re-elected Member,Hackney North and Stoke Newington
E14001260,Hackney South and Shoreditch,London,England,Borough,7/5/24 4:15,Lab hold,Lab,Labour and Co-operative,Dame,Meg,Hillier,,1524,Female,Re-elected Member,Hackney South and Shoreditch
E14001261,Halesowen,West Midlands,England,Borough,7/5/24 6:06,Lab gain from Con,Lab,Labour,,Alex,Ballinger,,,Male,New member,
E14001262,Halifax,Yorkshire and The Humber,England,Borough,7/5/24 6:08,Lab hold,Lab,Labour and Co-operative,,Kate,Dearden,Alexandra,,Female,New member,
E14001263,Hamble Valley,South East,England,County,7/5/24 5:55,Con hold,Con,Conservative,,Paul,Holmes,John,4803,Male,Re-elected Member,Eastleigh
S14000092,Hamilton and Clyde Valley,Scotland,Scotland,County,7/5/24 5:49,Lab gain from SNP,Lab,Labour,,Imogen,Walker,,,Female,New member,
E14001264,Hammersmith and Chiswick,London,England,Borough,7/5/24 5:42,Lab hold,Lab,Labour,,Andy,Slaughter,,1516,Male,Re-elected Member,Hammersmith
E14001265,Hampstead and Highgate,London,England,Borough,7/5/24 3:46,Lab hold,Lab,Labour,,Tulip,Siddiq,,4518,Female,Re-elected Member,Hampstead and Kilburn
E14001266,"Harborough, Oadby and Wigston",East Midlands,England,County,7/5/24 4:59,Con hold,Con,Conservative,,Neil,O'Brien,John,4679,Male,Re-elected Member,Harborough
E14001267,Harlow,East of England,England,County,7/5/24 5:37,Lab gain from Con,Lab,Labour and Co-operative,,Chris,Vince,,,Male,New member,
E14001268,Harpenden and Berkhamsted,East of England,England,County,7/5/24 5:04,LD gain from Con,LD,Liberal Democrat,,Victoria,Collins,,,Female,New member,
E14001269,Harrogate and Knaresborough,Yorkshire and The Humber,England,County,7/5/24 1:47,LD gain from Con,LD,Liberal Democrat,,Tom,Gordon,,,Male,New member,
E14001270,Harrow East,London,England,Borough,7/5/24 4:56,Con hold,Con,Conservative,,Bob,Blackman,,4005,Male,Re-elected Member,Harrow East
E14001271,Harrow West,London,England,Borough,7/5/24 4:46,Lab hold,Lab,Labour and Co-operative,,Gareth,Thomas,,177,Male,Re-elected Member,Harrow West
E14001272,Hartlepool,North East,England,County,7/5/24 3:02,Lab hold,Lab,Labour,,Jonathan,Brash,James Frederick,,Male,New member,
E14001273,Harwich and North Essex,East of England,England,County,7/5/24 5:30,Con hold,Con,Conservative,Sir,Bernard,Jenkin,,40,Male,Re-elected Member,Harwich and North Essex
E14001274,Hastings and Rye,South East,England,County,7/5/24 5:49,Lab gain from Con,Lab,Labour and Co-operative,,Helena,Dollimore,,,Female,New member,
E14001275,Havant,South East,England,Borough,7/5/24 5:56,Con hold,Con,Conservative,,Alan,Mak,,4484,Male,Re-elected Member,Havant
E14001276,Hayes and Harlington,London,England,Borough,7/5/24 5:09,Lab hold,Lab,Labour,,John,McDonnell,Martin,178,Male,Re-elected Member,Hayes and Harlington
E14001277,Hazel Grove,North West,England,County,7/5/24 3:15,LD gain from Con,LD,Liberal Democrat,,Lisa,Smart,,,Female,New member,
E14001278,Hemel Hempstead,East of England,England,County,7/5/24 7:32,Lab gain from Con,Lab,Labour,,David,Taylor,,,Male,New member,
E14001279,Hendon,London,England,Borough,7/5/24 10:32,Lab gain from Con,Lab,Labour,,David,Pinto-Duschinksy,,,Male,New member,
E14001280,Henley and Thame,South East,England,County,7/5/24 6:00,LD gain from Con,LD,Liberal Democrat,,Freddie,Van Mierlo,,,Male,New member,
E14001281,Hereford and South Herefordshire,West Midlands,England,County,7/5/24 6:21,Con hold,Con,Conservative,,Jesse,Norman,,3991,Male,Re-elected Member,Hereford and South Herefordshire
E14001282,Herne Bay and Sandwich,South East,England,County,7/5/24 7:17,Con hold,Con,Conservative,Sir,Roger,Gale,James,87,Male,Re-elected Member,North Thanet
E14001283,Hertford and Stortford,East of England,England,County,7/5/24 5:02,Lab gain from Con,Lab,Labour,,Josh,Dean,,,Male,New member,
E14001284,Hertsmere,East of England,England,County,7/5/24 4:22,Con hold,Con,Conservative,,Oliver,Dowden,James,4441,Male,Re-elected Member,Hertsmere
E14001285,Hexham,North East,England,County,7/5/24 4:23,Lab gain from Con,Lab,Labour,,Joe,Morris,,,Male,New member,
E14001286,Heywood and Middleton North,North West,England,County,7/5/24 3:23,Lab hold,Lab,Labour,Mrs,Elsie,Blundell,Jane,,Female,New member,
E14001287,High Peak,East Midlands,England,County,7/5/24 3:47,Lab gain from Con,Lab,Labour,,Jon,Pearce,,,Male,New member,
E14001288,Hinckley and Bosworth,East Midlands,England,County,7/5/24 5:05,Con hold,Con,Conservative,Dr,Luke,Evans,,4781,Male,Re-elected Member,Bosworth
E14001289,Hitchin,East of England,England,County,7/5/24 5:52,Lab gain from Con,Lab,Labour,,Alistair,Strathern,,5000,Male,Re-elected Member,Mid Bedfordshire
E14001290,Holborn and St Pancras,London,England,Borough,7/5/24 5:07,Lab hold,Lab,Labour,,Keir,Starmer,,4514,Male,Re-elected Member,Holborn and St Pancras
